id,task,question_type,topic,prompt,essay,overall_band,task_response,coherence_cohesion,lexical_resource,grammatical_accuracy
W-SYN-075,Task 1,process_diagram,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",8.0,7.5,8.5,8.5,8.5
W-SYN-076,Task 2,problem_solution,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.0,7.5,8.5,8.0,8.5
W-SYN-077,Task 1,process_diagram,work,Analyze the socio-economic impacts of work developments in contemporary global societies.,"This essay examines the significance of work within modern contemporary communities. Evidence demonstrates that addressing work issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding work remains vital for future generations.",6.0,6.0,5.5,6.0,5.5
W-SYN-078,Task 2,problem_solution,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",8.0,8.5,8.0,8.5,7.5
W-SYN-079,Task 2,advantages_disadvantages,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.0,8.5,8.5,7.5,8.5
W-SYN-080,Task 2,advantages_disadvantages,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",5.0,5.0,5.0,4.5,5.0
W-SYN-081,Task 2,advantages_disadvantages,work,Analyze the socio-economic impacts of work developments in contemporary global societies.,"This essay examines the significance of work within modern contemporary communities. Evidence demonstrates that addressing work issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding work remains vital for future generations.",8.5,8.5,9.0,8.0,9.0
W-SYN-082,Task 1,process_diagram,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",6.0,6.5,5.5,6.0,6.5
W-SYN-083,Task 2,opinion,work,Analyze the socio-economic impacts of work developments in contemporary global societies.,"This essay examines the significance of work within modern contemporary communities. Evidence demonstrates that addressing work issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding work remains vital for future generations.",6.5,7.0,6.5,6.0,6.0
W-SYN-084,Task 2,opinion,environment,Analyze the socio-economic impacts of environment developments in contemporary global societies.,"This essay examines the significance of environment within modern contemporary communities. Evidence demonstrates that addressing environment issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding environment remains vital for future generations.",5.0,4.5,5.0,5.5,4.5
W-SYN-085,Task 2,advantages_disadvantages,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",7.0,7.0,7.0,6.5,6.5
W-SYN-086,Task 2,discussion,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",6.0,6.5,6.5,5.5,5.5
W-SYN-087,Task 2,discussion,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",6.0,6.5,6.5,6.0,5.5
W-SYN-088,Task 2,opinion,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.5,8.0,8.5,9.0,9.0
W-SYN-089,Task 2,advantages_disadvantages,work,Analyze the socio-economic impacts of work developments in contemporary global societies.,"This essay examines the significance of work within modern contemporary communities. Evidence demonstrates that addressing work issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding work remains vital for future generations.",8.0,8.5,8.0,7.5,8.5
W-SYN-090,Task 2,advantages_disadvantages,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",7.0,6.5,7.5,7.0,7.5
W-SYN-091,Task 1,process_diagram,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",6.5,6.5,6.5,6.0,7.0
W-SYN-092,Task 2,discussion,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",7.0,7.0,7.0,7.5,6.5
W-SYN-093,Task 2,discussion,environment,Analyze the socio-economic impacts of environment developments in contemporary global societies.,"This essay examines the significance of environment within modern contemporary communities. Evidence demonstrates that addressing environment issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding environment remains vital for future generations.",6.5,6.5,7.0,6.0,7.0
W-SYN-094,Task 2,opinion,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.0,8.0,8.0,8.5,8.0
W-SYN-095,Task 2,opinion,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",7.0,6.5,6.5,7.0,7.0
W-SYN-096,Task 1,graph_description,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",8.0,8.0,7.5,8.0,8.0
W-SYN-097,Task 2,advantages_disadvantages,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",6.5,6.5,6.0,6.5,6.5
W-SYN-098,Task 2,opinion,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",8.0,8.0,8.5,8.5,8.0
W-SYN-099,Task 2,advantages_disadvantages,environment,Analyze the socio-economic impacts of environment developments in contemporary global societies.,"This essay examines the significance of environment within modern contemporary communities. Evidence demonstrates that addressing environment issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding environment remains vital for future generations.",6.0,6.5,6.5,5.5,6.0
W-SYN-100,Task 2,opinion,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",7.5,7.5,8.0,7.5,7.5
W-SYN-101,Task 2,advantages_disadvantages,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",7.5,7.0,7.5,7.5,7.5
W-SYN-102,Task 2,problem_solution,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",8.0,8.0,7.5,8.0,7.5
W-SYN-103,Task 2,problem_solution,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",6.5,7.0,6.0,7.0,6.0
W-SYN-104,Task 2,discussion,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",6.0,6.0,7.0,6.0,6.0
W-SYN-105,Task 2,advantages_disadvantages,environment,Analyze the socio-economic impacts of environment developments in contemporary global societies.,"This essay examines the significance of environment within modern contemporary communities. Evidence demonstrates that addressing environment issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding environment remains vital for future generations.",5.5,6.0,5.0,5.5,6.0
W-SYN-106,Task 2,problem_solution,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",6.5,6.5,6.5,6.5,6.5
W-SYN-107,Task 2,discussion,education,Analyze the socio-economic impacts of education developments in contemporary global societies.,"This essay examines the significance of education within modern contemporary communities. Evidence demonstrates that addressing education issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding education remains vital for future generations.",7.0,6.5,7.5,6.5,7.0
W-SYN-108,Task 2,advantages_disadvantages,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",7.0,6.0,7.0,7.0,7.0
W-SYN-109,Task 2,opinion,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",7.0,7.5,7.5,6.5,7.5
W-SYN-110,Task 2,problem_solution,technology,Analyze the socio-economic impacts of technology developments in contemporary global societies.,"This essay examines the significance of technology within modern contemporary communities. Evidence demonstrates that addressing technology issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding technology remains vital for future generations.",8.0,8.5,8.0,7.5,8.5
W-SYN-111,Task 2,opinion,work,Analyze the socio-economic impacts of work developments in contemporary global societies.,"This essay examines the significance of work within modern contemporary communities. Evidence demonstrates that addressing work issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding work remains vital for future generations.",8.0,8.0,7.5,8.0,8.0
W-SYN-112,Task 1,process_diagram,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",6.0,6.0,5.5,6.5,6.5
W-SYN-113,Task 1,graph_description,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",9.0,8.5,8.5,9.0,9.0
W-SYN-114,Task 2,problem_solution,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",6.0,6.0,6.5,6.5,6.0
W-SYN-115,Task 1,graph_description,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",8.0,8.0,7.5,8.0,8.0
W-SYN-116,Task 2,advantages_disadvantages,environment,Analyze the socio-economic impacts of environment developments in contemporary global societies.,"This essay examines the significance of environment within modern contemporary communities. Evidence demonstrates that addressing environment issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding environment remains vital for future generations.",6.5,6.5,6.5,6.5,6.5
W-SYN-117,Task 1,graph_description,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",5.0,5.5,4.5,4.5,4.5
W-SYN-118,Task 2,advantages_disadvantages,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",7.0,7.0,6.5,7.0,7.0
W-SYN-119,Task 2,advantages_disadvantages,culture,Analyze the socio-economic impacts of culture developments in contemporary global societies.,"This essay examines the significance of culture within modern contemporary communities. Evidence demonstrates that addressing culture issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding culture remains vital for future generations.",5.0,4.5,5.0,4.5,5.0
W-SYN-120,Task 2,problem_solution,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.0,7.5,8.0,8.0,7.5
W-SYN-121,Task 1,process_diagram,travel,Analyze the socio-economic impacts of travel developments in contemporary global societies.,"This essay examines the significance of travel within modern contemporary communities. Evidence demonstrates that addressing travel issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding travel remains vital for future generations.",7.5,7.5,8.0,7.5,7.5
W-SYN-122,Task 2,problem_solution,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",6.5,6.0,7.0,6.0,6.5
W-SYN-123,Task 1,process_diagram,education,Analyze the socio-economic impacts of education developments in contemporary global societies.,"This essay examines the significance of education within modern contemporary communities. Evidence demonstrates that addressing education issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding education remains vital for future generations.",6.0,5.5,5.5,6.5,6.0
W-SYN-124,Task 1,process_diagram,society,Analyze the socio-economic impacts of society developments in contemporary global societies.,"This essay examines the significance of society within modern contemporary communities. Evidence demonstrates that addressing society issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding society remains vital for future generations.",6.5,6.5,6.5,7.0,6.5
